item_clean,SemDis_glove_c_m,response
book,1.2611,to sit on and see higher
book,0.82794,weight
book,0.66649,ssomething o stand on
book,1.21217,to start a fre with
book,0.7398,fan
book,1.26051,toilet paper
book,0.76216,tent for rodents
book,0.77217,shelter from rain
book,0.94984,Umbrella
book,1.25806,to start a fire
book,0.7305699999999999,a fan to cool down
book,0.73792,Shelves
book,1.32064,Secret storage
book,1.24034,Frame as wall decor
book,1.15776,temporary object to prop up an uneven table or chair
book,0.77754,hiding place for passwords on slips of paper or keys in hollowed out centre pages
book,0.77956,a foundation object for a flipbook cartoon drawn at the foot of each page
book,1.27024,a step
book,1.26923,bedside table
book,1.2352,display flowers in it
book,0.70743,fold pages in to make a pattern
book,0.83334,hide your valuables
book,1.23398,make bunting from the pages
book,0.76879,light
book,1.30615,a collage/junk journal
book,0.77885,a piece of art to be framed text on the pages of a loved book
book,1.25305,a hiding place with pages or some pages cut out
book,0.6081099999999999,book end stand
book,0.98706,resting thing
book,1.31743,paper weight
book,1.00192,weights
book,0.82437,flower flattener
book,0.94017,fly squatter
book,0.9932,spider killer
book,0.96604,spanking
book,1.06006,kindling
book,1.33497,art work
book,0.67935,build a wall
book,1.26923,bedside table
book,1.01075,vase
book,1.24605,wrapping paper
book,0.7199800000000001,a door stop
book,0.7873,a new roof for a dolls house
book,0.7118599999999999,a small step
book,1.25429,a weapon
book,0.70782,a small shield
book,0.69596,a silly hat
book,0.76349,something to balance on your head to improve posture
book,1.28066,a weeks supply of toilet paper
book,1.30898,pile then up  glue together to make an oriment
book,0.8419,fly squater
book,0.7499199999999999,balance on head for posture
book,0.82794,weight
book,1.31743,paper weight
book,0.66247,throw at someone
book,0.75447,burn for heat
book,1.30286,use pages for art
book,1.26051,toilet paper
book,1.26724,table stand
book,0.94459,ornament
book,1.32831,safe keeping
book,1.27475,door stop
book,0.81125,steady wobbly table
book,1.29176,stand on to reach high shelf
book,1.3267,weigh down loose paper
book,1.23171,place on coffee table as a talking point
book,0.79541,swat a fly
book,1.19591,kill a spieder
book,0.77461,stand on to kiss a taller person
book,0.74359,press a flower
book,1.3564,Book End
book,0.73792,Shelves
book,0.90897,Monitor Riser
book,0.88106,Weapon
book,0.72089,Fuel For Fire
book,0.68557,Raise A Table
book,1.06105,Padding
book,1.12903,Packing Material
book,1.25474,nice pattern
book,0.73944,dangle stuff from the prongs
book,0.67886,a display piece
book,0.74768,cut ou the letters  pics to create a piece of art
book,1.24207,arrange a display in a book cabinet ie by colour size etc
book,1.22895,stop a table from wobbling with it
book,1.22085,use as a coaster
book,0.68626,wipe your butt with it
book,1.17893,frisbie
book,1.02641,paper folding origami
book,1.24305,wrap gifts
book,0.91853,use as wallpaper
book,1.31019,to read
book,0.81043,to decorate shelves
book,1.26071,to build a tower
book,1.28255,as a coffee table
book,0.7874099999999999,use the pages to decoupage or make a collage
book,0.6509499999999999,to write over
book,1.2263,to pile into a christmas tree
book,0.79149,to hide treasured items if you removed some pages
book,0.76709,as the lever to a secret door
book,1.24674,put on a shelf in a decorative way
book,1.227,pile large books together and make into stairs
book,1.29401,use the covers as wall art
book,1.41894,photography subject
book,1.04455,stencil
book,0.90707,drum
book,1.10866,frisby
book,1.10695,stepping stool
book,1.25423,something to sit on
book,1.15784,fly/spider swatter
book,0.82794,weight
book,1.24544,scrap paper
book,1.26404,use the pages to draw on
book,1.26886,fuel for a fire
book,1.31412,use the paper for origami
book,1.27843,Start fire
book,0.6540699999999999,Make Papier mache
book,1.07056,Ransom note
book,1.23956,Key to cypher
book,0.8728400000000001,Wallpaper
book,1.34413,Measure distance
book,0.91837,spring vase
book,0.90137,lantern
book,1.14325,cup and ball game
book,0.82254,create a bird feeder
book,1.00591,stool
