item,SemDis_glove_c_m
brick,0.9639
brick,0.95783
brick,0.79604
brick,1.11621
brick,0.80091
brick,1.07283
brick,0.962809999999999
brick,0.96106
brick,0.82329
brick,1.19251
brick,0.95087
brick,1.1051
brick,1.00134
brick,0.8234
brick,1.18622
brick,1.16228
brick,1.01432
brick,1.17797
brick,0.78603
brick,1.15133
brick,0.96049
brick,0.80762
brick,1.15966
brick,0.99286
brick,0.82338
brick,1.05798
brick,0.825809999999999
brick,0.80726
brick,0.83571
brick,0.962809999999999
brick,0.91204
brick,0.9639
brick,1.11712
brick,1.02432
brick,1.18438
brick,1.10647
brick,0.80331
brick,1.10049
brick,1.15782
brick,1.18671
brick,0.80721
brick,0.94994
brick,1.04435
brick,0.799609999999999
brick,0.85037
brick,0.85704
brick,1.14658
brick,0.92269
brick,0.88919
brick,1.03988
brick,1.17032
brick,0.89408
brick,0.91204
brick,0.90769
brick,1.03277
brick,0.92145
brick,1.00134
brick,0.91165
brick,0.98152
brick,1.03543
brick,1.11712
brick,1.03031
brick,1.12818
brick,0.87022
brick,0.86017
brick,1.06987
brick,0.88469
brick,1.11621
brick,0.9521
brick,1.15625
brick,0.81933
brick,0.96106
brick,0.80831
brick,1.11712
brick,1.1874
brick,1.07985
brick,1.02972
brick,0.91938
brick,0.83501
brick,0.77047
brick,0.82852
brick,1.09588
brick,0.916679999999999
brick,1.09244
brick,1.05849
brick,0.93484
brick,1.1169
brick,0.7963
brick,1.02114
brick,1.07283
brick,0.88425
brick,1.03167
brick,1.13385
brick,1.16798
brick,0.94491
brick,1.19293
brick,1.19133
brick,0.84349
brick,1.14882
brick,1.09611
brick,0.84082
brick,0.83752
brick,
brick,0.92724
brick,1.15655
brick,0.80118
brick,0.79933
brick,1.14205
brick,0.84765
brick,0.79858
brick,0.9386
brick,0.83637
brick,1.02418
brick,0.83191
brick,1.13338
brick,0.64873
brick,0.90466
brick,1.11625
brick,1.00894
brick,0.83409
brick,0.79749
brick,0.74515
brick,0.79018
brick,1.05135
brick,1.16075
brick,0.93334
brick,0.814049999999999
brick,1.17832999999999
brick,1.0299
brick,1.04215
brick,1.19214
brick,1.19437
brick,1.15782
brick,1.12712
brick,0.82675
brick,0.8021
brick,0.80769
brick,1.16049
brick,1.13225
brick,0.93822
brick,1.19334
brick,0.84094
brick,1.19334
brick,1.19184
brick,1.15523
brick,0.82256
brick,1.19146
brick,1.08977
brick,1.18197
brick,1.11167
brick,1.04067
brick,1.10886
brick,1.10044
brick,0.72965
brick,0.79397
brick,1.05633
brick,0.84221
brick,0.82631
brick,0.63317
brick,0.72088
brick,0.83068
brick,0.84145
brick,0.7291
brick,0.842249999999999
brick,0.78181
brick,0.40225
brick,1.01154
brick,0.70667
brick,0.76619
brick,0.84251
brick,0.89471
brick,0.88724
brick,0.89504
brick,0.96106
brick,0.88425
brick,0.65896
brick,0.72693
brick,1.13978
brick,0.68422
brick,0.54184
brick,0.83734
brick,1.00134
brick,1.04331
brick,0.97403
brick,1.056
brick,1.15677
brick,1.13013
brick,1.08319
brick,0.81047
brick,1.10654
brick,0.84658
brick,1.11712
brick,1.19625
brick,0.87498
brick,0.81007
brick,1.10858
brick,0.85082
brick,1.17982
brick,1.19344
brick,0.808049999999999
brick,0.81546
brick,1.1839
brick,1.00138
brick,1.17088
brick,1.07627
brick,1.19403
brick,0.93445
brick,1.09183
brick,0.80518
brick,1.10806
brick,1.15252
brick,0.99092
brick,0.88425
brick,0.79897
brick,0.83191
brick,1.09074
brick,1.14205
brick,1.0173
brick,0.83716
brick,1.00738
brick,0.89504
brick,1.17113
brick,1.06931
