item,SemDis_glove_c_m
fork,0.87926
fork,0.95158
fork,1.00063
fork,1.01734
fork,1.08571
fork,1.0582
fork,0.95865
fork,0.99138
fork,0.95079
fork,1.05657
fork,0.95896
fork,1.0691
fork,1.03585
fork,0.94066
fork,0.93816
fork,1.05876
fork,1.00513
fork,1.0695
fork,0.93781
fork,1.05173
fork,
fork,1.05979
fork,0.987
fork,0.9991
fork,1.03875
fork,0.94278
fork,1.01363
fork,0.94038
fork,1.05724
fork,0.98847
fork,0.97035
fork,0.95023
fork,1.00361
fork,0.96252
fork,0.93372
fork,0.93505
fork,0.94111
fork,1.05886
fork,0.9411
fork,0.87487
fork,1.04655
fork,1.0322
fork,0.9787
fork,0.94314
fork,0.93258
fork,1.05397
fork,0.93981
fork,0.93219
fork,0.99613
fork,0.93895
fork,1.01615
fork,0.979
fork,1.05536
fork,1.0691
fork,0.96815
fork,1.01734
fork,0.99484
fork,1.12405
fork,0.72142
fork,0.96936
fork,0.85102
fork,1.00763
fork,1.06375
fork,0.81346
fork,0.94381
fork,1.03749
fork,0.9709
fork,0.93487
fork,0.9423
fork,0.94059
fork,1.05223
fork,1.03166
fork,1.05814
fork,0.93114
fork,1.01705
fork,0.94153
fork,0.93727
fork,1.01698
fork,1.01853
fork,0.99669
fork,1.05433
fork,0.99378
fork,1.05058
fork,1.0691
fork,0.98544
fork,1.05565
fork,1.06121
fork,0.7228600000000001
fork,0.96593
fork,0.93199
fork,0.94433
fork,0.93989
fork,1.06259
fork,0.83424
fork,0.89371
fork,1.00038
fork,0.82758
fork,0.93987
fork,
fork,0.8943
fork,
fork,1.06956
fork,0.79466
fork,0.8558399999999999
fork,1.08166
fork,1.01869
fork,1.05859
fork,0.80817
fork,0.89638
fork,0.749
fork,
fork,0.75295
fork,0.94242
fork,1.05445
fork,0.93743
fork,0.95158
fork,0.9412
fork,1.01164
fork,1.01734
fork,0.80749
fork,1.08319
fork,1.00379
fork,0.94054
fork,1.05769
fork,0.93519
fork,0.94174
fork,0.9414
fork,1.0461
fork,0.92987
fork,0.9391
fork,0.98612
fork,1.05894
fork,0.9413
fork,0.9411
fork,1.06014
fork,0.94014
fork,0.94054
fork,0.99259
fork,1.05644
fork,1.01734
fork,1.06662
fork,0.98553
fork,0.99494
fork,1.08383
fork,1.04418
fork,1.00792
fork,1.05885
fork,1.0374
fork,0.93887
fork,0.94022
fork,0.9998
fork,1.005
fork,1.05981
fork,1.04482
fork,1.03752
fork,1.02289
fork,0.92801
fork,0.97903
fork,1.00098
fork,0.91387
fork,0.88751
fork,0.76617
fork,0.75295
fork,0.99766
fork,0.92437
fork,0.93977
fork,0.97617
fork,0.9512
fork,0.9104
fork,0.94269
fork,1.0526
fork,0.93999
fork,1.05892
fork,0.89649
fork,0.94091
fork,0.90859
fork,0.94156
fork,1.05965
fork,1.0274
fork,0.92674
fork,0.93142
fork,1.07403
fork,0.79843
fork,1.01093
fork,0.90178
fork,0.81673
fork,0.95158
fork,1.02598
fork,1.04901
fork,1.04086
fork,1.05947
fork,0.93282
fork,0.96953
fork,1.05158
fork,0.91792
fork,0.97705
fork,0.79843
fork,1.02775
fork,0.81346
fork,1.05884
fork,1.05418
fork,0.94066
fork,0.94115
fork,
fork,0.99766
fork,0.9576
fork,1.02289
fork,0.92386
fork,0.96053
fork,0.95158
fork,0.97903
fork,0.92241
fork,0.92677
fork,0.97655
fork,0.98105
fork,0.80749
fork,1.01734
fork,0.94116
fork,1.05753
fork,0.83424
fork,0.93041
fork,0.7400599999999999
fork,1.06218
fork,1.01734
fork,1.02041
fork,1.05778
fork,1.01786
fork,0.94231
fork,0.93788
fork,1.06985
fork,1.02227
fork,1.10189
fork,0.91593
fork,0.76134
fork,0.99648
fork,0.8936999999999999
fork,
fork,1.05952
fork,1.05182
fork,1.06867
fork,1.00977
fork,1.05394
fork,1.08106
fork,0.91532
fork,0.96766
fork,0.96772
fork,0.97188
fork,1.08039
fork,1.03585
fork,1.04731
fork,0.95409
fork,1.05351
fork,0.94097
fork,1.05915
fork,0.96459
fork,0.92403
fork,1.05803
fork,0.95158
fork,0.97134
fork,1.0188
fork,0.91969
fork,1.02382
fork,0.93785
fork,0.99728
fork,0.92926
fork,0.85995
fork,0.89689
fork,0.94166
fork,0.93459
fork,0.87588
fork,0.91392
fork,0.98928
fork,0.9402
fork,1.05926
fork,0.94312
fork,0.94181
fork,1.0189
fork,0.94631
fork,1.04854
fork,0.94288
fork,
fork,0.96819
fork,1.02055
fork,0.92636
fork,0.98665
fork,0.9816
fork,0.97924
fork,1.01457
fork,0.9714
fork,0.96485
fork,1.13632
fork,0.95158
fork,1.02115
fork,1.07022
fork,0.85995
fork,0.82906
fork,0.98728
fork,0.87895
fork,1.03436
fork,0.99167
fork,
fork,0.97988
fork,1.0331
fork,1.05812
fork,0.87605
fork,1.01457
fork,1.04558
fork,0.93825
fork,1.05461
fork,0.97489
fork,1.03165
fork,1.02529
fork,0.88934
fork,1.02322
fork,0.95158
fork,1.04446
fork,0.85945
fork,0.90182
fork,0.87608
fork,0.90096
fork,0.96467
fork,1.07122
fork,0.99766
fork,1.03702
fork,1.0011
fork,0.92403
fork,1.05813
fork,0.94697
fork,1.06091
fork,1.03893
fork,1.0569
fork,1.05325
fork,1.04734
fork,0.99928
fork,0.95524
fork,0.94116
fork,1.02611
fork,0.94548
fork,0.93466
fork,0.93845
fork,1.01085
fork,1.05933
fork,1.05781
fork,1.05934
fork,0.96638
fork,0.9954
fork,0.96766
fork,0.89178
fork,0.90289
fork,0.8714500000000001
fork,1.04138
fork,1.02367
fork,0.98276
fork,0.6738
fork,1.01816
fork,0.97845
fork,0.93826
fork,1.0365
fork,0.96206
fork,1.00748
fork,0.98482
fork,0.95742
fork,1.00624
fork,1.0691
fork,0.98555
fork,1.08778
fork,1.03135
fork,1.03838
fork,1.06066
fork,0.92403
fork,0.98705
fork,0.9814
fork,0.9765
fork,0.94386
fork,1.05044
fork,1.03495
fork,1.05482
fork,0.93887
fork,1.05801
fork,1.05301
fork,1.05879
fork,1.0053
fork,0.9407
fork,1.00043
fork,1.00068
fork,0.88259
fork,0.97077
fork,0.95158
fork,0.82144
fork,0.93186
fork,0.72519
fork,0.98664
fork,0.88822
fork,0.7068
fork,0.5614600000000001
fork,0.94693
fork,0.89363
fork,0.6738
fork,0.96011
fork,0.97098
fork,1.00728
fork,0.88876
fork,1.02313
fork,0.95535
fork,1.02041
fork,1.01734
fork,0.86248
fork,0.88424
fork,0.93199
fork,0.89871
fork,1.07748
fork,0.95556
fork,1.05978
fork,0.97558
fork,1.01457
fork,0.94657
fork,0.72142
fork,1.05928
fork,1.02198
fork,0.98763
fork,0.93167
fork,0.87306
fork,0.93443
fork,0.83424
fork,0.92776
fork,0.96843
fork,0.93887
fork,0.94112
fork,1.05956
fork,0.89491
fork,1.03778
fork,1.05923
fork,0.94549
fork,0.95063
fork,0.98923
fork,1.05701
fork,1.04341
fork,0.80749
fork,0.97077
fork,0.931
fork,1.07394
fork,0.94085
fork,0.99531
fork,1.0691
fork,1.03871
fork,0.94276
fork,1.04858
fork,0.94973
fork,1.00624
fork,0.91532
fork,
fork,0.95865
fork,1.04286
fork,0.98489
fork,1.02624
fork,1.03968
fork,0.83802
fork,0.93695
fork,1.01734
fork,0.94093
fork,1.07806
fork,1.05117
fork,0.94692
fork,0.93763
fork,0.93781
fork,1.0398
fork,1.05722
fork,1.04968
fork,1.05804
fork,0.95573
fork,0.96299
fork,0.9345
fork,0.95344
fork,0.98869
fork,0.979
fork,1.05894
fork,
fork,1.05768
fork,1.05778
fork,0.94154
fork,0.94015
fork,1.09964
fork,0.9408
fork,1.02001
fork,0.96099
fork,1.03281
fork,1.05474
fork,0.92759
fork,1.05395
fork,1.05046
fork,1.01457
fork,0.94383
fork,0.96789
fork,1.03425
fork,0.93956
fork,1.05543
fork,0.93327
fork,1.05901
fork,1.0392
fork,1.0268
fork,0.7068
fork,0.88497
fork,0.83424
fork,0.98465
fork,0.99723
fork,1.01228
fork,1.06463
fork,0.97408
fork,0.82875
